field,row,column,number,cone_size,date,year,doy,samp_id,depth_cm,resis_kpa
broccoli,3,3,N= 13,1/2 Inch,2020-03-16,2020,76,broccoli_13,2.5,483
broccoli,3,4,N= 15,1/2 Inch,2020-03-16,2020,76,broccoli_15,2.5,69
broccoli,3,5,N= 17,1/2 Inch,2020-03-16,2020,76,broccoli_17,2.5,448
leafbag,2,3,N= 2,1/2 Inch,2020-03-16,2020,76,leafbag_2,2.5,448
leafbag,3,3,N= 3,1/2 Inch,2020-03-16,2020,76,leafbag_3,2.5,69
leafbag,4,3,N= 5,1/2 Inch,2020-03-16,2020,76,leafbag_5,2.5,34
leafbag,4,3,N= 6,1/2 Inch,2020-03-16,2020,76,leafbag_6,2.5,104
leafbag,5,2,N= 8,1/2 Inch,2020-03-16,2020,76,leafbag_8,2.5,172
leafbag,4,2,N= 9,1/2 Inch,2020-03-16,2020,76,leafbag_9,2.5,207
leafbag,3,2,N= 10,1/2 Inch,2020-03-16,2020,76,leafbag_10,2.5,138
leafbag,2,2,N= 11,1/2 Inch,2020-03-16,2020,76,leafbag_11,2.5,242
leafbag,1,2,N= 12,1/2 Inch,2020-03-16,2020,76,leafbag_12,2.5,380
leafbag,1,1,N= 13,1/2 Inch,2020-03-16,2020,76,leafbag_13,2.5,34
leafbag,3,1,N= 14,1/2 Inch,2020-03-16,2020,76,leafbag_14,2.5,34
leafbag,4,1,N= 15,1/2 Inch,2020-03-16,2020,76,leafbag_15,2.5,242
leafbag,5,1,N= 16,1/2 Inch,2020-03-16,2020,76,leafbag_16,2.5,448
OG,1,4,N= 1,1/2 Inch,2020-03-16,2020,76,OG_1,2.5,242
OG,2,4,N= 2,1/2 Inch,2020-03-16,2020,76,OG_2,2.5,276
OG,3,4,N= 3,1/2 Inch,2020-03-16,2020,76,OG_3,2.5,207
OG,4,4,N= 4,1/2 Inch,2020-03-16,2020,76,OG_4,2.5,69
OG,4,4,N= 6,1/2 Inch,2020-03-16,2020,76,OG_6,2.5,34
OG,4,4,N= 7,1/2 Inch,2020-03-16,2020,76,OG_7,2.5,104
OG,4,3,N= 8,1/2 Inch,2020-03-16,2020,76,OG_8,2.5,34
OG,3,3,N= 9,1/2 Inch,2020-03-16,2020,76,OG_9,2.5,34
OG,2,3,N= 10,1/2 Inch,2020-03-16,2020,76,OG_10,2.5,380
OG,2,2,N= 11,1/2 Inch,2020-03-16,2020,76,OG_11,2.5,380
OG,3,2,N= 12,1/2 Inch,2020-03-16,2020,76,OG_12,2.5,483
OG,4,1,N= 14,1/2 Inch,2020-03-16,2020,76,OG_14,2.5,172
OG,3,1,N= 15,1/2 Inch,2020-03-16,2020,76,OG_15,2.5,104
OG,2,1,N= 17,1/2 Inch,2020-03-16,2020,76,OG_17,2.5,172
prairie-trees,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,prairie-trees_2,2.5,621
prairie-trees,3,1,N= 3,1/2 Inch,2020-03-16,2020,76,prairie-trees_3,2.5,759
prairie-trees,3,2,N= 4,1/2 Inch,2020-03-16,2020,76,prairie-trees_4,2.5,69
prairie-trees,3,3,N= 5,1/2 Inch,2020-03-16,2020,76,prairie-trees_5,2.5,69
prairie-trees,3,4,N= 6,1/2 Inch,2020-03-16,2020,76,prairie-trees_6,2.5,897
prairie-trees,3,5,N= 7,1/2 Inch,2020-03-16,2020,76,prairie-trees_7,2.5,380
berries,1,1,N= 1,1/2 Inch,2020-03-16,2020,76,berries_1,2.5,138
berries,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,berries_2,2.5,586
berries,3,1,N= 3,1/2 Inch,2020-03-16,2020,76,berries_3,2.5,518
vineyard,3,1,N= 1,1/2 Inch,2020-03-16,2020,76,vineyard_1,2.5,104
vineyard,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,vineyard_2,2.5,862
vineyard,1,1,N= 3,1/2 Inch,2020-03-16,2020,76,vineyard_3,2.5,104
vineyard,1,2,N= 4,1/2 Inch,2020-03-16,2020,76,vineyard_4,2.5,414
vineyard,2,2,N= 5,1/2 Inch,2020-03-16,2020,76,vineyard_5,2.5,724
vineyard,3,2,N= 6,1/2 Inch,2020-03-16,2020,76,vineyard_6,2.5,897
vineyard,3,3,N= 7,1/2 Inch,2020-03-16,2020,76,vineyard_7,2.5,483
vineyard,2,3,N= 8,1/2 Inch,2020-03-16,2020,76,vineyard_8,2.5,621
vineyard,1,3,N= 9,1/2 Inch,2020-03-16,2020,76,vineyard_9,2.5,104
broccoli,1,1,N= 1,1/2 Inch,2020-03-16,2020,76,broccoli_1,5,448
broccoli,1,2,N= 2,1/2 Inch,2020-03-16,2020,76,broccoli_2,5,172
broccoli,1,3,N= 3,1/2 Inch,2020-03-16,2020,76,broccoli_3,5,621
broccoli,1,4,N= 4,1/2 Inch,2020-03-16,2020,76,broccoli_4,5,621
broccoli,1,5,N= 5,1/2 Inch,2020-03-16,2020,76,broccoli_5,5,310
broccoli,2,5,N= 6,1/2 Inch,2020-03-16,2020,76,broccoli_6,5,932
broccoli,2,4,N= 7,1/2 Inch,2020-03-16,2020,76,broccoli_7,5,380
broccoli,2,3,N= 8,1/2 Inch,2020-03-16,2020,76,broccoli_8,5,656
broccoli,2,2,N= 9,1/2 Inch,2020-03-16,2020,76,broccoli_9,5,759
broccoli,2,1,N= 10,1/2 Inch,2020-03-16,2020,76,broccoli_10,5,552
broccoli,3,1,N= 11,1/2 Inch,2020-03-16,2020,76,broccoli_11,5,380
